05-10-2023 08:06:40 PMTest Tester: Account #70586 Current Balance $432.66
05-10-2023 08:18:53 PM Test Tester: Account #53967 Current Balance $140.65
05-10-2023 08:19:00 PM Test Tester: Account #53967 Current Balance $120.65
05-10-2023 08:19:28 PM Test Tester: Account #28996 Current Balance $300
05-10-2023 08:19:41 PM Test Tester: Account #28996 Current Balance $214.80
05-10-2023 08:20:07 PM Test Tester: Account #53967 Current Balance $205.85
05-10-2023 08:30:44 PM Test Banktester: Account #15101Deposit $124.50 Current Balance $124.50
05-10-2023 08:30:49 PM Test Banktester: Account #15101Deposit $50.75 Current Balance $175.25
05-10-2023 08:31:07 PM Test Banktester: Account #9306Deposit $478.99 Current Balance $478.99
05-10-2023 08:31:16 PM Test Banktester: Account #9306Transfer $45.80 Current Balance $433.19
05-10-2023 08:59:19 PM Test Again: Account #31728 Deposit $12345.60 Current Balance $12345.60
05-10-2023 08:59:23 PM Test Again: Account #31728 Withdraw $134.52 Current Balance $12211.08
05-10-2023 08:59:27 PM Test Again: Account #31728 Deposit $56.78 Current Balance $12267.86
05-10-2023 08:59:37 PM Test Again: Account #97348 Deposit $345.73 Current Balance $345.73
05-10-2023 08:59:47 PM Test Again: Account #97348 Transfer $34.98 Current Balance $310.75
06-10-2023 08:38:33 PM Russell: Account #123 Withdraw $150 Current Balance $0
06-10-2023 08:38:46 PM Russell: Account #123 Withdraw $150 Current Balance $0
06-10-2023 08:39:27 PM Russell: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 08:39:45 PM Russell: Account #123 Withdraw $50 Current Balance $100
06-10-2023 08:39:45 PM Russell: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 08:40:15 PM Russell: Account #123 Deposit $25 Current Balance $25
06-10-2023 08:40:24 PM Russell: Account #123 Deposit $25 Current Balance $75
06-10-2023 08:40:35 PM Russell: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 08:40:35 PM Russell: Account #123 Deposit $25 Current Balance $75
06-10-2023 08:40:35 PM Russell: Account #123 Withdraw $50 Current Balance $100
06-10-2023 08:40:35 PM Russell: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 08:40:35 PM Russell: Account #123 Withdraw $150 Current Balance $0
06-10-2023 08:40:35 PM Russell: Account #123 Deposit $25 Current Balance $25
06-10-2023 08:43:27 PM Russell: Account #123 Withdraw $30 Current Balance $170
06-10-2023 08:43:27 PM Russell: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 08:43:27 PM Russell: Account #123 Withdraw $20 Current Balance $150
06-10-2023 08:43:27 PM Russell: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 08:43:37 PM Russell: Account #123 Withdraw $30 Current Balance $170
06-10-2023 08:43:37 PM Russell: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 08:43:37 PM Russell: Account #123 Withdraw $20 Current Balance $150
06-10-2023 08:43:37 PM Russell: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 08:43:37 PM Russell: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 08:43:37 PM Russell: Account #123 Deposit $25 Current Balance $75
06-10-2023 08:43:37 PM Russell: Account #123 Withdraw $50 Current Balance $100
06-10-2023 08:43:37 PM Russell: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 08:43:37 PM Russell: Account #123 Withdraw $150 Current Balance $0
06-10-2023 08:43:37 PM Russell: Account #123 Deposit $25 Current Balance $25
06-10-2023 08:43:58 PM Russell: Account #123 Withdraw $30 Current Balance $170
06-10-2023 08:43:58 PM Russell: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 08:43:58 PM Russell: Account #123 Withdraw $20 Current Balance $150
06-10-2023 08:43:58 PM Russell: Account #123 Withdrawal $20 Current Balance $150
06-10-2023 08:43:58 PM Russell: Account #123 Withdrawal $85 Current Balance $65
06-10-2023 08:43:58 PM Russell: Account #123 Deposit $25 Current Balance $75
06-10-2023 08:43:58 PM Russell: Account #123 Withdraw $50 Current Balance $100
06-10-2023 08:43:58 PM Russell: Account #123 Withdrawal $50 Current Balance $100
06-10-2023 08:43:58 PM Russell: Account #123 Withdraw $150 Current Balance $0
06-10-2023 08:43:58 PM Russell: Account #123 Deposit $25 Current Balance $25
06-10-2023 08:45:27 PM test: Account #123 Deposit $1000 Current Balance $1000
06-10-2023 08:46:31 PM test: Account #123 Deposit $7000 Current Balance $7000
06-10-2023 08:46:51 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 08:47:34 PM test: Account #123 Deposit $30000 Current Balance $30000
06-10-2023 08:50:56 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 08:50:56 PM test: Account #123 Deposit $5000 Current Balance $5000
06-10-2023 08:50:56 PM test: Account #123 Deposit $1000 Current Balance $1000
06-10-2023 08:50:56 PM test: Account #123 Deposit $30000 Current Balance $30000
06-10-2023 08:50:56 PM test: Account #123 Deposit $10000 Current Balance $10000
06-10-2023 08:50:56 PM test: Account #123 Deposit $7000 Current Balance $7000
06-10-2023 08:50:56 PM test: Account #123 Deposit $3000 Current Balance $3000
06-10-2023 08:50:56 PM test: Account #123 Deposit $12000 Current Balance $12000
06-10-2023 08:51:29 PM test: Account #123 Deposit $3000 Current Balance $3000
06-10-2023 08:51:39 PM Russell: Account #123 Withdraw $30 Current Balance $170
06-10-2023 08:51:39 PM Russell: Account #123 Withdrawal $30 Current Balance $170
06-10-2023 08:51:39 PM Russell: Account #123 Withdraw $20 Current Balance $150
